year,round,type,institute,program,quota,category,gender,orank,crank
2025,6,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Female-only",12,12
2025,6,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral",5,20
2025,6,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","EWS","Female-only",38,53
2025,6,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","EWS (PwD)","Gender-Neutral",3,3
2025,6,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral",6,54
2025,6,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only",70,331
2025,6,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","Gender-Neutral",2,3
2025,6,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral",1,31
2025,6,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only",111,270
2025,6,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC (PwD)","Gender-Neutral",1,1
2025,6,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral",2,19
2025,6,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only",17,76
2025,6,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST (PwD)","Gender-Neutral",1,1
2025,6,"IIT","Indian Institute of Technology Bombay","Economics (4 Years, Bachelor of Science)","AI","OPEN","Gender-Neutral",1531,2372
2025,6,"IIT","Indian Institute of Technology Bombay","Economics (4 Years, Bachelor of Science)","AI","OPEN","Female-only",3744,4928
2025,6,"IIT","Indian Institute of Technology Bombay","Economics (4 Years, Bachelor of Science)","AI","EWS","Gender-Neutral",498,554
2025,6,"IIT","Indian Institute of Technology Bombay","Economics (4 Years, Bachelor of Science)","AI","EWS","Female-only",978,978
2025,6,"IIT","Indian Institute of Technology Bombay","Economics (4 Years, Bachelor of Science)","AI","OBC-NCL","Gender-Neutral",993,1405
2025,6,"IIT","Indian Institute of Technology Bombay","Economics (4 Years, Bachelor of Science)","AI","OBC-NCL","Female-only",2899,3344
2025,6,"IIT","Indian Institute of Technology Bombay","Economics (4 Years, Bachelor of Science)","AI","SC","Gender-Neutral",371,855
2025,6,"IIT","Indian Institute of Technology Bombay","Economics (4 Years, Bachelor of Science)","AI","SC","Female-only",1565,1565
2025,6,"IIT","Indian Institute of Technology Bombay","Economics (4 Years, Bachelor of Science)","AI","ST","Gender-Neutral",691,828
2025,6,"IIT","Indian Institute of Technology Bombay","Economics (4 Years, Bachelor of Science)","AI","ST","Female-only",564,564
2025,6,"IIT","Indian Institute of Technology Bombay","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral",106,433
2025,6,"IIT","Indian Institute of Technology Bombay","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only",779,1914
2025,6,"IIT","Indian Institute of Technology Bombay","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral",23,23
2025,6,"IIT","Indian Institute of Technology Bombay","Electrical Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral",51,113
2025,6,"IIT","Indian Institute of Technology Bombay","Electrical Engineering (4 Years, Bachelor of Technology)","AI","EWS","Female-only",235,396
2025,6,"IIT","Indian Institute of Technology Bombay","Electrical Engineering (4 Years, Bachelor of Technology)","AI","EWS (PwD)","Gender-Neutral",11,11
2025,6,"IIT","Indian Institute of Technology Bombay","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral",122,339
2025,6,"IIT","Indian Institute of Technology Bombay","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only",588,1117
2025,6,"IIT","Indian Institute of Technology Bombay","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","Gender-Neutral",20,20
2025,6,"IIT","Indian Institute of Technology Bombay","Electrical Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral",57,163
2025,6,"IIT","Indian Institute of Technology Bombay","Electrical Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only",345,753
2025,6,"IIT","Indian Institute of Technology Bombay","Electrical Engineering (4 Years, Bachelor of Technology)","AI","SC (PwD)","Gender-Neutral",7,7
2025,6,"IIT","Indian Institute of Technology Bombay","Electrical Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral",21,96
2025,6,"IIT","Indian Institute of Technology Bombay","Electrical Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only",196,260
